,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,
2023-01-10,68.05000305175781,389.0950012207031,118.8499984741211,68.05000305175781,390.5799865722656,118.8499984741211,68.1500015258789,390.6499938964844,122.76000213623047,66.55999755859375,386.2699890136719,114.91999816894531,66.66999816894531,387.25,121.06999969482422,41149600,65358100,167642500
2023-01-11,69.05999755859375,394.0162353515625,123.22000122070312,69.05999755859375,395.5199890136719,123.22000122070312,69.12999725341797,395.6000061035156,125.94999694824219,67.22000122070312,391.3800048828125,120.51000213623047,68.38999938964844,392.2300109863281,122.08999633789062,44470100,68881100,183810800
2023-01-12,70.80000305175781,395.45074462890625,123.55999755859375,70.80000305175781,396.9599914550781,123.55999755859375,71.6500015258789,398.489990234375,124.12999725341797,67.18000030517578,392.4200134277344,117.0,70.06999969482422,396.6700134277344,122.55999755859375,70066200,90157700,169400900
2023-01-13,71.0,396.9848937988281,122.4000015258789,71.0,398.5,122.4000015258789,71.0999984741211,399.1000061035156,122.62999725341797,69.2300033569336,393.3399963378906,115.5999984741211,69.83999633789062,393.6199951171875,116.55000305175781,45757400,63903900,180714100
2023-01-17,71.58999633789062,396.2576599121094,131.49000549316406,71.58999633789062,397.7699890136719,131.49000549316406,72.66000366210938,400.2300109863281,131.6999969482422,70.6500015258789,397.05999755859375,125.0199966430664,70.87000274658203,398.4800109863281,125.69999694824219,42621300,62677300,186477000
2023-01-18,70.52999877929688,390.0015563964844,128.77999877929688,70.52999877929688,391.489990234375,128.77999877929688,72.77999877929688,400.1199951171875,136.67999267578125,70.5,391.2799987792969,127.01000213623047,71.87000274658203,399.010009765625,136.55999755859375,39538700,99632300,195680300
2023-01-19,67.70999908447266,387.16241455078125,127.16999816894531,67.70999908447266,388.6400146484375,127.16999816894531,69.25,391.0799865722656,129.99000549316406,67.2699966430664,387.260009765625,124.30999755859375,68.97000122070312,389.3599853515625,127.26000213623047,47189900,86958900,170291900
2023-01-20,70.06999969482422,394.3748779296875,133.4199981689453,70.06999969482422,395.8800048828125,133.4199981689453,70.12999725341797,396.0400085449219,133.50999450683594,67.44999694824219,388.3800048828125,127.3499984741211,68.01000213623047,390.1000061035156,128.67999267578125,47757600,91806400,138858100
2023-01-23,76.52999877929688,399.1068115234375,143.75,76.52999877929688,400.6300048828125,143.75,76.58999633789062,402.6499938964844,145.3800048828125,71.54000091552734,395.7200012207031,134.27000427246094,72.22000122070312,396.7200012207031,135.8699951171875,84293200,84178800,203119200
2023-01-24,74.69999694824219,398.6784362792969,143.88999938964844,74.69999694824219,400.20001220703125,143.88999938964844,75.63999938964844,401.1499938964844,146.5,73.41999816894531,397.6400146484375,141.10000610351562,73.75,398.8800048828125,143.0,60822600,59524900,158699100
2023-01-25,74.91000366210938,398.827880859375,144.42999267578125,74.91000366210938,400.3500061035156,144.42999267578125,75.12000274658203,400.70001220703125,146.41000366210938,72.08999633789062,393.55999755859375,138.07000732421875,72.9000015258789,395.95001220703125,141.91000366210938,49932600,84800300,192734300
2023-01-26,75.16000366210938,403.2111511230469,160.27000427246094,75.16000366210938,404.75,160.27000427246094,77.08000183105469,404.9200134277344,161.4199981689453,74.27999877929688,400.0299987792969,154.75999450683594,76.5,403.1300048828125,159.97000122070312,49583900,72287400,234815100
2023-01-27,75.4000015258789,404.1376037597656,177.89999389648438,75.4000015258789,405.67999267578125,177.89999389648438,76.73999786376953,408.1600036621094,180.67999267578125,73.48999786376953,403.44000244140625,161.1699981689453,73.69999694824219,403.6600036621094,162.42999267578125,58118600,68346200,306590600
2023-01-30,72.44999694824219,399.06695556640625,166.66000366210938,72.44999694824219,400.5899963378906,166.66000366210938,74.63999938964844,405.1300048828125,179.77000427246094,72.4000015258789,400.2799987792969,166.5,74.2300033569336,402.79998779296875,178.0500030517578,48105200,74202000,230878800
2023-01-31,75.1500015258789,404.9345703125,173.22000122070312,75.1500015258789,406.4800109863281,173.22000122070312,75.19999694824219,406.5299987792969,174.3000030517578,72.02999877929688,400.7699890136719,162.77999877929688,72.26000213623047,401.1300048828125,164.57000732421875,71669100,86811800,196813500
2023-02-01,84.63999938964844,409.2381286621094,181.41000366210938,84.63999938964844,410.79998779296875,181.41000366210938,85.4800033569336,413.6700134277344,183.80999755859375,77.87999725341797,402.3500061035156,169.92999267578125,78.47000122070312,405.2099914550781,173.88999938964844,152548200,101459200,213806300
2023-02-02,88.30999755859375,415.1954040527344,188.27000427246094,88.30999755859375,416.7799987792969,188.27000427246094,88.94000244140625,418.30999755859375,196.75,83.19999694824219,412.8800048828125,182.61000061035156,84.29000091552734,414.8599853515625,187.3300018310547,97762100,101654500,217448300
2023-02-03,86.08999633789062,410.7822570800781,189.97999572753906,86.08999633789062,412.3500061035156,189.97999572753906,88.80000305175781,416.9700012207031,199.0,85.83000183105469,411.0899963378906,183.69000244140625,86.66000366210938,411.5899963378906,183.9499969482422,66557800,94736800,232662000
2023-02-06,83.68000030517578,408.2718200683594,194.75999450683594,83.68000030517578,409.8299865722656,194.75999450683594,86.27999877929688,411.2900085449219,198.1699981689453,83.22000122070312,408.1000061035156,189.9199981689453,84.62999725341797,409.7900085449219,193.00999450683594,53008900,60295300,186188100
2023-02-07,85.91000366210938,413.6114501953125,196.80999755859375,85.91000366210938,415.19000244140625,196.80999755859375,86.25,416.489990234375,197.5,82.5199966430664,407.57000732421875,189.5500030517578,84.31999969482422,408.8699951171875,196.42999267578125,65291900,90990700,186010300
2023-02-08,84.69000244140625,409.0887145996094,201.2899932861328,84.69000244140625,410.6499938964844,201.2899932861328,88.0,414.5299987792969,203.0,84.54000091552734,409.92999267578125,194.30999755859375,85.87999725341797,413.1300048828125,196.10000610351562,54140400,76227500,180673600
2023-02-09,83.20999908447266,405.542236328125,207.32000732421875,83.20999908447266,407.0899963378906,207.32000732421875,86.66999816894531,414.57000732421875,214.0,82.76000213623047,405.80999755859375,204.77000427246094,85.87999725341797,414.4100036621094,207.77999877929688,46525400,78694900,215431400
2023-02-10,81.4800033569336,406.4886474609375,196.88999938964844,81.4800033569336,408.0400085449219,196.88999938964844,82.70999908447266,408.44000244140625,206.1999969482422,80.47000122070312,405.010009765625,192.88999938964844,82.29000091552734,405.8599853515625,202.22999572753906,49332600,70769700,204754100
2023-02-13,83.12999725341797,411.2604064941406,194.63999938964844,83.12999725341797,412.8299865722656,194.63999938964844,84.1500015258789,412.9700012207031,196.3000030517578,80.9000015258789,408.239990234375,187.61000061035156,81.56999969482422,408.7200012207031,194.4199981689453,45400000,64913500,172475500
2023-02-14,85.94999694824219,411.0711669921875,209.25,85.94999694824219,412.6400146484375,209.25,86.19000244140625,415.04998779296875,209.82000732421875,81.7699966430664,408.510009765625,189.44000244140625,82.69999694824219,411.239990234375,191.94000244140625,55979700,88389300,216455700
2023-02-15,85.18000030517578,412.40606689453125,214.24000549316406,85.18000030517578,413.9800109863281,214.24000549316406,85.88999938964844,414.05999755859375,214.66000366210938,83.31999969482422,409.4700012207031,206.11000061035156,85.0999984741211,410.3500061035156,211.75999450683594,46430200,61555700,181006400
2023-02-16,80.08000183105469,406.72772216796875,202.0399932861328,80.08000183105469,408.2799987792969,202.0399932861328,83.3499984741211,412.9100036621094,217.64999389648438,80.05000305175781,408.1400146484375,201.83999633789062,82.9800033569336,408.7900085449219,210.77999877929688,57755200,76431500,229586500
2023-02-17,78.5,405.71160888671875,208.30999755859375,78.5,407.260009765625,208.30999755859375,79.6500015258789,407.510009765625,208.44000244140625,77.37000274658203,404.04998779296875,197.5,79.5999984741211,406.05999755859375,199.99000549316406,47826600,89257800,213738500
2023-02-21,76.7699966430664,397.5726623535156,197.3699951171875,76.7699966430664,399.0899963378906,197.3699951171875,78.45999908447266,404.1600036621094,209.7100067138672,76.44999694824219,398.82000732421875,197.22000122070312,77.1500015258789,403.05999755859375,204.99000549316406,44045600,82655900,180018600
